model,n_params,rank,mag,mag_over_median
pythia-160m,162322944,12,2.95751953125,6.153142857130056
pythia-160m,162322944,13,2.9358978271484375,6.108158730146022
pythia-160m,162322944,14,2.8240966796875,5.875555555543332
pythia-160m,162322944,15,2.80316162109375,5.8319999999878664
pythia-160m,162322944,16,2.75,5.721396825384923
pythia-160m,162322944,17,2.66668701171875,5.548063492051949
pythia-160m,162322944,18,2.56005859375,5.3262222222111415
pythia-160m,162322944,19,2.48681640625,5.173841269830506
pythia-160m,162322944,20,2.29815673828125,4.781333333323386
pythia-160m,162322944,21,2.22918701171875,4.637841269831621
pythia-160m,162322944,22,2.213470458984375,4.605142857133276
pythia-160m,162322944,23,1.98907470703125,4.138285714277105
pythia-160m,162322944,24,1.90478515625,3.96292063491239
pythia-160m,162322944,25,1.83447265625,3.81663492062698
pythia-160m,162322944,26,1.788330078125,3.72063492062718
pythia-160m,162322944,27,1.7012939453125,3.5395555555481915
pythia-160m,162322944,28,1.66766357421875,3.4695873015800833
pythia-160m,162322944,29,1.612335205078125,3.3544761904692115
pythia-160m,162322944,30,1.61138916015625,3.352507936500962
pythia-160m,162322944,31,1.6087646484375,3.3470476190406555
pythia-160m,162322944,32,1.555419921875,3.2360634920567595
pythia-160m,162322944,33,1.5545654296875,3.2342857142789856
pythia-160m,162322944,34,1.54638671875,3.217269841263148
pythia-160m,162322944,35,1.52117919921875,3.1648253968188125
pythia-160m,162322944,36,1.47735595703125,3.073650793644399
pythia-160m,162322944,37,1.4359130859375,2.987428571422356
pythia-160m,162322944,38,1.435791015625,2.9871746031683886
pythia-160m,162322944,39,1.4144287109375,2.9427301587240366
pythia-160m,162322944,40,1.40460205078125,2.9222857142796346
pythia-160m,162322944,41,1.4024658203125,2.917841269835199
pythia-160m,162322944,42,1.3692626953125,2.8487619047559782
pythia-160m,162322944,43,1.3631591796875,2.836063492057592
pythia-160m,162322944,44,1.336181640625,2.7799365079307243
pythia-160m,162322944,45,1.31103515625,2.727619047613373
pythia-160m,162322944,46,1.259796142578125,2.6210158730104203
pythia-160m,162322944,47,1.25836181640625,2.618031746026299
pythia-160m,162322944,48,1.217041015625,2.5320634920582243
pythia-160m,162322944,49,1.20745849609375,2.5121269841217577
pythia-160m,162322944,50,1.205596923828125,2.50825396824875
pythia-160m,162322944,51,1.2012939453125,2.4993015872963875
pythia-160m,162322944,52,1.200439453125,2.4975238095186136
pythia-160m,162322944,53,1.1995849609375,2.4957460317408393
pythia-160m,162322944,54,1.18896484375,2.473650793645647
pythia-160m,162322944,55,1.18701171875,2.469587301582164
pythia-160m,162322944,56,1.1763916015625,2.4474920634869717
pythia-160m,162322944,57,1.15673828125,2.406603174598168
pythia-160m,162322944,58,1.1551513671875,2.4033015872965873
pythia-160m,162322944,59,1.15179443359375,2.396317460312475
pythia-160m,162322944,60,1.14788818359375,2.3881904761855077
pythia-160m,162322944,61,1.1463623046875,2.3850158730109112
pythia-160m,162322944,62,1.1424560546875,2.376888888883944
pythia-160m,162322944,63,1.138427734375,2.368507936503009
pythia-160m,162322944,64,1.13818359375,2.3679999999950736
pythia-410m,405334016,1,652.375,498.438351053527
pythia-410m,405334016,2,624.0,476.7588136538047
pythia-410m,405334016,3,392.375,299.7888453644417
pythia-410m,405334016,4,23.41796875,17.892184293961332
pythia-410m,405334016,5,20.34765625,15.546353292284333
pythia-410m,405334016,6,14.841796875,11.33967543367908
pythia-410m,405334016,7,14.32421875,10.94422682334549
pythia-410m,405334016,8,9.845703125,7.52247714977974
pythia-410m,405334016,9,9.345703125,7.140458869608422
pythia-410m,405334016,10,7.9677734375,6.087670210776919
pythia-410m,405334016,11,7.0576171875,5.392277560152567
pythia-410m,405334016,12,6.9248046875,5.290803954482061
pythia-410m,405334016,13,6.646484375,5.078157060246073
pythia-410m,405334016,14,6.125,4.679723932098644
pythia-410m,405334016,15,5.8994140625,4.507368028349475
pythia-410m,405334016,16,5.8486328125,4.468569296769576
